age	marital	education	housing.loan	personal.loan	contact	day.of.week	duration.contact	number.contatcs.campaign	poutcome	term.deposit
30	married	basic	1	0	cellular	fri	487	2	nonexistent	0
39	single	high.school	0	0	telephone	fri	346	4	nonexistent	0
25	married	high.school	1	0	telephone	wed	227	1	nonexistent	0
47	married	university.degree	1	0	cellular	mon	58	1	nonexistent	0
32	single	university.degree	0	0	cellular	thu	128	3	failure	0
32	single	university.degree	1	0	cellular	mon	290	4	nonexistent	0
41	married	university.degree	1	0	cellular	mon	44	2	nonexistent	0
31	divorced	professional.course	0	0	cellular	tue	68	1	failure	0
35	married	basic	0	0	telephone	thu	170	1	nonexistent	0
25	single	basic	1	0	cellular	thu	301	1	nonexistent	0
36	single	basic	0	0	cellular	thu	148	1	nonexistent	0
36	married	high.school	0	0	telephone	wed	97	2	nonexistent	0
47	married	basic	1	0	telephone	thu	211	2	nonexistent	0
29	single	high.school	0	0	cellular	fri	553	2	nonexistent	0
27	single	university.degree	0	0	cellular	wed	698	2	nonexistent	0
44	divorced	university.degree	0	0	cellular	wed	191	6	nonexistent	0
46	divorced	university.degree	1	0	telephone	mon	59	4	nonexistent	0
45	married	university.degree	1	1	cellular	mon	38	2	nonexistent	0
50	married	basic	0	1	cellular	tue	849	1	nonexistent	1
55	married	basic	1	0	cellular	tue	326	6	nonexistent	0
39	divorced	high.school	0	0	cellular	mon	222	1	success	1
29	single	university.degree	1	1	cellular	wed	626	3	nonexistent	0
40	married	high.school	0	1	cellular	wed	119	1	nonexistent	0
44	married	professional.course	1	0	telephone	fri	388	7	nonexistent	0
38	married	professional.course	1	0	cellular	mon	479	1	nonexistent	1
36	divorced	professional.course	0	0	telephone	wed	446	1	nonexistent	0
28	married	basic	0	0	cellular	mon	68	2	failure	0
34	married	university.degree	0	0	cellular	tue	109	1	nonexistent	0
38	married	university.degree	1	1	cellular	tue	113	1	failure	0
33	married	high.school	1	0	telephone	mon	393	3	nonexistent	0
51	single	university.degree	0	0	cellular	fri	151	2	nonexistent	0
30	single	basic	1	0	telephone	tue	256	1	nonexistent	0
48	married	university.degree	0	0	cellular	thu	42	7	nonexistent	0
28	single	basic	1	0	telephone	wed	525	1	nonexistent	0
36	married	basic	1	0	telephone	wed	57	1	nonexistent	0
46	divorced	high.school	0	0	cellular	wed	499	1	nonexistent	0
35	married	high.school	1	0	cellular	tue	31	1	nonexistent	0
76	married	university.degree	0	0	cellular	thu	126	1	failure	0
45	divorced	professional.course	1	0	cellular	tue	211	3	nonexistent	0
32	married	basic	1	1	cellular	fri	340	1	nonexistent	0
39	single	university.degree	0	0	cellular	thu	412	2	nonexistent	0
32	married	university.degree	0	0	telephone	thu	132	1	nonexistent	0
29	single	basic	0	0	cellular	mon	79	2	nonexistent	0
44	married	professional.course	0	0	cellular	mon	341	2	nonexistent	0
32	married	high.school	0	1	cellular	fri	157	3	nonexistent	0
56	married	university.degree	1	0	cellular	wed	252	1	failure	0
33	married	basic	1	0	cellular	thu	263	1	nonexistent	0
39	married	high.school	0	0	cellular	fri	215	3	nonexistent	0
24	married	university.degree	1	1	cellular	tue	89	2	success	1
33	single	university.degree	1	0	cellular	thu	143	1	nonexistent	0
58	divorced	university.degree	0	0	telephone	thu	40	2	nonexistent	0
